Term URI|Origin|Type|Cardinality|Comments|Label_en|Description_en|Example_en|Verified_en|Label_es|Description_es|Example_es|Verified_es|Label_sl|Description_sl|Example_sl|Verified_sl|Label_pt|Description_pt|Example_pt|Verified_pt|Label_fr|Description_fr|Example_fr|Verified_fr
BirthEvidence|DE4A||||Birth evidence|Official document or data proving the Birth of a Child.||1|Prueba de Nacimiento|Información registrada del nacimiento de una persona que prueba se registró formalmente.||1|Rojstvo|Uradni dokument ali podatki ki dokazujejo rojstvo otroka.||1|Evidência de nascimento|Documento oficial ou dados provando o nascimento de uma criança.||1|Preuve de naissance|Document officiel ou données prouvant la naissance d'un enfant.||0
BirthEvidence/Identifier||Identifier|00|It is the identifier from Core Vocabularies (Core Vocabulary Aggregated Components)|Identifier|An unambiguous reference to the Birth Evidence.||1|Identificador|Una referencia inequívoca a la prueba de nacimiento.||1|Identifikator|Nedvoumno sklicevanje na rojstni dokaz.||1|Identificador|Uma referência inequívoca às evidências de nascimento.||1|Identifiant|Une référence sans ambiguïté aux preuves de naissance.||0
BirthEvidence/IssueDate|udt:DateType|UDT/Date|10|It is the DateType from unqualified data types from UBL-2.3|Issue date|The most recent date on which the Birth Evidence instance was issued.|44336|1|Fecha de emisión|Fecha más reciente en la que se emitió la prueba de nacimiento.||1|Datum izdaje|Najnovejši datum na katerega je bil izdan primer rojstva dokazov.||1|Data de emissão|A data mais recente em que a instância da evidência de nascimento foi emitida.||1|Date d'émission|La date la plus récente sur laquelle l'instance de preuve de naissance a été émise.||0
BirthEvidence/IssuingAuthority||PublicOrganisation|10||Issuing authority|A Public Organisation with official authority in charge of issuing the Birth Evidence.||1|Autoridad emisora|Organización pública con competencias para emitir legalmente la prueba de nacimiento.||1|Organ izdaje|Javna organizacija z uradnim organom ki je zadolžena za izdajo rojstnih dokazov.||1|Autoridade emissora|Uma entidade pública com autoridade oficial encarregada de emitir a evidência de nascimento.||1|Autorité de délivrance|Une organisation publique avec autorité officielle chargée de la délivrance des preuves de naissance.||0
BirthEvidence/IssuingPlace||LocationAddress|10||Issuing place|The Location where the Birth Evidence was issued.||1|Lugar de emisión|Ubicación donde se emitió la prueba de nacimiento.||1|Izdajanje kraja|Lokacijo kjer so bili izdani rojstni dokaz.||1|Local de emissão|O local onde a evidência de nascimento foi emitida.||1|Lieu de délivrance|L'emplacement où les preuves de naissance ont été émises.||0
BirthEvidence/IssuingPlace/AdminUnitL2|location:AdminUnitL2Type|LocationAddress/AdminUnitL2|10|||||1||||1||||1||||1||||0
BirthEvidence/IssuingPlace/AdminUnitL1|location:AdminUnitL1Type|LocationAddress/AdminUnitL1|10|||||1||||1||||1||||1||||0
BirthEvidence/CertifiesBirth|||10||Certifies birth|Attesting in a formal way that the Birth is true.||1|Certifica el nacimiento|Certificación del suceso del nacimiento.||1|Potrjuje rojstvo|Uradno potrjevanje da je rojstvo res.||1|Certifica o nascimento|Atestando de forma formal que o nascimento é verdadeiro.||1|Certifie la naissance|Attester de manière formelle que la naissance est vraie.||0
BirthEvidence/CertifiesBirth/Child||Person|10||Child|The Person who is born at the Birth. A Person of any age, who is a son or daughter.||1|Persona nacida|Persona cuyo nacimiento se certifica.||1|Otrok|Oseba ki se je rodila ob rojstvu. Oseba katere koli starosti ki je sin ali hči.||1|Criança|A pessoa que nasce no nascimento. Uma pessoa de qualquer idade, que é filho ou filha.||1|Enfant|La personne née à la naissance. Une personne de tout âge, qui est un fils ou une fille.||0
BirthEvidence/CertifiesBirth/Child/DateOfBirth|person:DateOfBirthType|Person/DateOfBirth|10|||||1||||1||||1||||1||||0
BirthEvidence/CertifiesBirth/Child/Gender||PersonGenderEnum|10|||Gender of the born person||1||Sexo de la persona nacida||1||||1||Género da pessoa nascida||1||Sexe de la personne née||0
BirthEvidence/CertifiesBirth/Child/PlaceOfBirth||LocationAddress|10|||||1||||1||||1||||1||||0
BirthEvidence/CertifiesBirth/Parent||Person|01||Parent|The Parent of the Child. One of the two Persons who are jointly the cause of the Child's Birth, i.e. natural parent.||1|Datos del progenitor|Datos de uno de los dos progenitors que figuran en el registro de nacimientos. ||1|Starš|SPOLO OSEBENE OSEBE||1|Dados do progenitor|O progenitor da criança. Dados de um dos dois pais que constam na certidão de nascimento.||1|Parent|Le parent de l'enfant. Une des deux personnes qui sont conjointement la cause de la naissance de l'enfant, c'est-à-dire un parent naturel.||0
