Term URI|Origin|Type|Cardinality|Comments|Label_en|Description_en|Example_en|Verified_en|Label_es|Description_es|Example_es|Verified_es|Label_sl|Description_sl|Example_sl|Verified_sl|Label_pt|Description_pt|Example_pt|Verified_pt|Label_fr|Description_fr|Example_fr|Verified_fr
GUI/select||xss:string|00||Select|||1|Seleccionar|||1|Izberi|||0|Selecionar|||0|Pour sélectionner|||0
GUI/providerCountry||xss:string|00||issuing country|||1|país emisor|||1|državo ponudnika|||0|país emissor|||0|pays émetteur|||0
GUI/or||xss:string|00||or|||1|o|||1|ali|||0|ou|||0|Soit|||0
GUI/selectCountry||xss:string|00||Select country|||1|Seleccionar país|||1|Izberi državo|||0|Selecione o pais|||0|Choisissez le pays|||0
GUI/selectProvision||xss:string|00||Select option|||1|Seleccionar opción|||1|Izberi pošiljatelja|||0|selecione a opção|||0|sélectionner l'option|||0
GUI/provisionNotAvailable||xss:string|00||Option not available, please upload the evidence.|||1|Opción no disponible, subir fichero evidencia|||1|Izdajatelj ni na voljo, naložite dokazila|||0|Opção não disponível, faça upload do arquivo de evidência|||0|Option non disponible, télécharger le fichier de preuve|||0
GUI/select1Provision||xss:string|00||please select 1 option|||1|seleccione 1 opción|||1|izberite 1 ponudnika|||0|selecione 1 opção|||0|sélectionner 1 option|||0
GUI/for||xss:string|00||for|||1|por|||1|za|||0|por|||0|pour|||0
GUI/from||xss:string|00||from|||1|desde|||1|iz|||0|a partir de|||0|depuis|||0
GUI/confirmProvision||xss:string|00||Confirm opción|||1|Confirmar opción|||1|Potrdite ponudnika|||0|opção de confirmação|||0|option de confirmation|||0
GUI/proceed||xss:string|00||Proceed|||1|Continuar|||1|Nadaljujte|||0|Continuar|||0|continuer|||0
GUI/crossBorderEvidenceRequest||xss:string|00||Cross-border evidence request|||1|Solicitud de evidencia transfronteriza|||1|Zahteva za cezmejno pridobivanje dokazil|||0|Solicitação de Provas Transfronteiriças|||0|Demande de preuve transfrontalière|||0
GUI/de4aUsedTo||xss:string|00||The DE4A Technical System will be used to:|||1|El Sistema Técnico DE4A se utilizará para:|||1|Tehnicni sistem DE4A se bo uporabil za:|||0|O Sistema Técnico DE4A será usado para:|||0|Le Système Technique DE4A sera utilisé pour :|||0
GUI/requestCrossBorderEvidence||xss:string|00||request the following cross-border evidence:|||1|solicitar las evidencias  transfronterizas:|||1|pridobitev naslednjih cezmejnih dokazil:|||0|solicitar provas transfronteiriças:|||0|demander des preuves transfrontalières :|||0
GUI/uploadCrossBorderEvidence||xss:string|00||upload the following evidence:|||1|suba la siguiente evidencia:|||1|nalaganje naslednjih dokazil:|||0|carregue as seguintes provas:|||0|télécharger les preuves suivantes :|||0
GUI/inpectEvidence||xss:string|00||You will be able to inspect the evidence and choose if you want to proceed.|||1|Podrá inspeccionar la evidencia y elegir si desea continuar.|||1|Dokazila si boste lahko ogledali in se odlocili, ali želite nadaljevati.|||0|Você poderá inspecionar as evidências e escolher se quer continuar.|||0|Vous pourrez inspecter les preuves et choisir de continuer ou non.|||0
GUI/dea4aAreYouSure||xss:string|00||Are you sure that you want use the DE4A Technical System?|||1|¿Estás seguro de que quieres utilizar el Sistema Técnico DE4A?|||1|Ali ste prepricani, da želite uporabiti tehnicni sistem DE4A?|||0|Tem certeza de que deseja usar o Sistema Técnico DE4A?|||0|Êtes-vous sûr de vouloir utiliser le système technique DE4A ?|||0
GUI/cancel||xss:string|00||Cancel|||1|Cancelar|||1|Preklici|||0|Cancelar|||0|Annuler|||0
GUI/request||xss:string|00||Request|||1|Solicitar|||1|Zahtevaj|||0|Candidatar-se a|||0|Demander|||0
GUI/complete||xss:string|00||Complete|||1|Completo|||1|Zakljuceno|||0|Completo|||0|Complet|||0
GUI/provideInputER||xss:string|00||Please provide required input to Explicit Request!|||1|¡Proporcione la información necesaria para la solicitud explícita!|||1|Prosim, zagotovite zahtevane podatke za izrecno zahtevo!|||0|Por favor, forneça as informações necessárias para o pedido explícito!|||0|Veuillez fournir les informations nécessaires pour la demande explicite!|||0
GUI/provideInputP||xss:string|00||Please provide required input to Preview!|||1|¡Proporcione la información necesaria para la previsualización de evidencias!|||1|Prosim, zagotovitev zahtevane podatke za predogled!|||0|Forneça as informações necessárias para a visualização das provas!|||0|Fournissez les informations nécessaires pour l'aperçu des preuves !|||0
GUI/include||xss:string|00||include|||1|incluir|||1|vkljuci|||0|incluir|||0|inclure|||0
GUI/uploadEvidence||xss:string|00||upload evidence|||1|subir evidencia|||1|naloži dokazilo|||0|carregar provas|||0|télécharger des preuves|||0
GUI/Preview||xss:string|00||Preview|||1|Previsualización|||1|Predogled|||0|Visualizar|||0|Aperçu|||0
GUI/with||xss:string|00||with|||1|con|||1|z|||0|com|||0|avec|||0
GUI/descriptions||xss:string|00||descriptions|||1|descripciones|||1|opisi|||0|descrições|||0|descriptifs|||0
GUI/in||xss:string|00||in|||1|en|||1|v|||0|dentro|||0|dans|||0
GUI/without||xss:string|00||without|||1|sin|||1|brez|||0|sem|||0|sans pour autant|||0
GUI/exclude||xss:string|00||exclude|||1|excluir|||1|izkljuci|||0|Excluir|||0|Exclure|||0
GUI/schema||xss:string|00||schema|||1|esquema|||1|shema|||0|esquema|||0|schème|||0
