Term URI|Origin|Type|Cardinality|Comments|Label_en|Description_en|Example_en|Verified_en|Label_es|Description_es|Example_es|Verified_es|Label_sl|Description_sl|Example_sl|Verified_sl|Label_pt|Description_pt|Example_pt|Verified_pt|Label_fr|Description_fr|Example_fr|Verified_fr
MarriageEvidence|DE4A||||Marriage evidence|Official document or data proving the Marriage of two Persons.||1|Prueba de matrimonio|Información sobre el matrimonio de dos personas que demuestra que se registró formalmente.||1|Poročni dokaz|Uradni dokument ali podatki ki dokazujejo zakonsko zvezo dveh oseb.||1|Certidão de casamento|A certidão de casamento serve como prova do registo de casamento. Inclui os dados de identificação dos membros do casal, a modalidade, o regime de bens e o local onde foi celebrado o casamento.||1|Preuve de mariage|Document officiel ou données prouvant le mariage de deux personnes.||0
MarriageEvidence/Identifier||Identifier|00|It is the identifier from Core Vocabularies (Core Vocabulary Aggregated Components)|Identifier|An unambiguous reference to the Marriage Evidence.||1|Identificador|Referencia inequívoca a la prueba de matrimonio.||1|Identifikator|Nedvoumno sklicevanje na zakonske dokaze.||1|Identificador|Uma referência inequívoca para a certidão do casamento.||1|Identifiant|Une référence sans ambiguïté à la preuve du mariage.||0
MarriageEvidence/IssueDate|udt:DateType|UDT/Date|10|It is the DateType from unqualified data types from UBL-2.3.|Issue date|The most recent date on which the MarriageEvidence instance was issued.|20/05/2021|1|Fecha de emisión|Fecha más reciente en que se emitió la prueba de matrimonio.||1|Datum izdaje|Najnovejši datum na katerem je bil izdan primer Marriageedidence.||1|Data de emissão|A data mais recente em que instância de MarriageEvidence foi emitida.||1|Date d'émission|La date la plus récente sur laquelle l'instance de mariage a été émise.||0
MarriageEvidence/IssuingAuthority||PublicOrganisation|10||Issuing authority|A Public Organisation with official authority in charge of issuing the Marriage Evidence.||1|Autoridad emisora|Organización pública competencias para emitir legalmente la prueba de matrimonio.||1|Organ izdaje|Javna organizacija z uradnim organom ki je zadolžena za izdajo zakonskih zakonov.||1|Autoridade emissora|Uma entidade pública com autoridade oficial para emitir a certidão do casamento.||1|Autorité de délivrance|Une organisation publique avec autorité officielle chargée de la délivrance des preuves du mariage.||0
MarriageEvidence/IssuingPlace||LocationAddress|10||Issuing place|The Location where the Marriage Evidence was issued.||1|Lugar de emisión|Ubicación donde se emitió la evidencia matrimonial.||1|Izdajanje kraja|Lokacijo kjer je bil izdan zakonski dokaz.||1|Local de emissão|A localização onde a certidão do casamento foi emitida.||1|Lieu de délivrance|L'emplacement où la preuve du mariage a été émise.||0
MarriageEvidence/IssuingPlace/AdminUnitL2|location:AdminUnitL2Type|LocationAddress/AdminUnitL2|10|||||1||||1||||1||||1||||0
MarriageEvidence/IssuingPlace/AdminUnitL1|location:AdminUnitL1Type|LocationAddress/AdminUnitL1|10|||||1||||1||||1||||1||||0
MarriageEvidence/CertifiesMarriage|||10||Certifies marriage|Attesting in a formal way that the Marriage is true.|20/04/2021|1|Certifica el matrimonio|Certificación del suceso del matrimonio.||1|Potrjuje poroko|Uradni način da je zakonska zveza resnična.||1|Certifica o casamento|Atestando de uma forma formal que o casamento é verdadeiro.||1|Certifie le mariage|Attestant de manière formelle que le mariage est vrai.||0
MarriageEvidence/CertifiesMarriage/DateOfMarriage|udt:DateType|UDT/Date|10||Date of marriage|The date on which the Marriage took place.||1|Fecha de matrimonio|Fecha en que tuvo lugar la boda.||1|Datum poroke|Datum ko je potekala zakonska zveza.||1|Data do casamento|A data em que ocorreu o casamento.||1|Date du mariage|La date à laquelle le mariage a eu lieu.||0
MarriageEvidence/CertifiesMarriage/PlaceOfMarriage||LocationAddress|00||Place of marriage|||1|Lugar de la boda|||1||||1|Local do casamento|||1|Lieu de mariage|||0
MarriageEvidence/CertifiesMarriage/Spouse||Person|11||Spouse|The Person who was married.||1|Cónyuge|Una de las personas que forman el matrimonio||1|Zakonec|Oseba ki je bila poročena.||1|Cônjuge|A pessoa que era casada.||1|Conjoint|La personne qui était mariée.||0
