Term URI|Origin|Type|Cardinality|Comments|Label_en|Description_en|Example_en|Verified_en|Label_es|Description_es|Example_es|Verified_es|Label_sl|Description_sl|Example_sl|Verified_sl|Label_pt|Description_pt|Example_pt|Verified_pt|Label_fr|Description_fr|Example_fr|Verified_fr
Person||||Person|An individual natural person who may be dead or alive, but not imaginary.|||1|Persona|||1|Oseba|Posamezna fizična oseba ki je lahko mrtva ali živa vendar ne namišljena.||1|Pessoa|||1|La personne|||0
Person/DateOfBirth|||00|Date of birth|The day on which the person was born.|||1|Fecha de nacimiento|||1|Datum rojstva|Dan ko se je rodila oseba.||1|Data de nascimento|||1|Date de naissance|||0
Person/DateOfBirth/Year||xsd:gYear|00|Year|A gregorian calendar year. The value space of Year is the set of Gregorian calendar years as defined in § 5.2.1 of ISO 8601. Specifically, it is a set of one-year long, non-periodic instances e.g. lexical 1999 to represent the whole year 1999, independent of how many months and days this year has.||1980|1|Año|||1|Leto|Gregorijansko koledarsko leto. Vrednostni prostor leta je niz gregorijanskih koledarskih let kot je opredeljeno v § 5.2.1 ISO 8601. Natančneje je niz enoletnih ne-periodičnih primerov npr. Lexicy 1999 predstavlja celo leto 1999 neodvisno od števila mesecev in dni letos.||1|Ano|||1|An|||0
Person/DateOfBirth/Month||xsd:gMonth|00|Month|A gregorian month that recurs every year. The value space of Month is the space of a set of calendar months as defined in § 3 of ISO 8601. Specifically, it is a set of one-month long, yearly periodic instances.||6|1|Mes|||1|Mesec|Gregoriški mesec ki se vsako leto ponovi. Vrednost v mesecu je prostor nabora koledarskih mesecev kot je opredeljeno v § 3 ISO 8601. Natančneje je niz enomesečnih dolgoletnih letnih občasnih primerov.||1|Mês|||1|Mois|||0
Person/DateOfBirth/Day||xsd:gDay|00|Day|A gregorian day that recurs, specifically a day of the month such as the 5th of the month. The value space of Day is the space of a set of calendar dates as defined in § 3 of ISO 8601. Specifically, it is a set of one-day long, monthly periodic instances.||12|1|Día|||1|Dan|Gregoriški dan ki se ponavlja posebej na dan meseca kot je 5. meseca. Vrednostni prostor dneva je prostor nabora koledarskih datumov kot je opredeljeno v § 3 ISO 8601. Natančneje je niz enodnevnih mesečnih periodičnih primerov.||1|Dia|||1|Jour|||0
Person/Gender||PersonGenderEnum|00|Gender|The chromosomal state, and reproductive organs and structures of a Person that allows them to be distinguished as female or male or undetermined.||Male|1|Género|||1|Spol|Kromosomno stanje in reproduktivni organi in struktur osebe ki jim omogoča da se razlikujejo kot ženske ali moške ali nedoločene.||1|Género|||1|Le sexe|||0
Person/PlaceOfBirth||LocationAddress|00|Place of birth|The Location where the person was born.|||1|Lugar de nacimiento|||1|Kraj rojstva|Lokacijo kjer se je rodila oseba.||1|Local de nascimento|||1|Lieu de naissance|||0
Person/PersonName|||10|Person name|The family name and given name of a Person. At least one of the two must exist.|||1|Nombre de la persona|||1|Ime osebe|Ime in ime osebe. Vsaj eno od obeh mora obstajati.||1|Nome da pessoa|||1|Nom d'une personne|||0
Person/PersonName/FamilyName|cbc:NameType|UDT/Name|01|Family name|A family name is usually shared by members of a family. This attribute also carries prefixes or suffixes which are part of the family name, e.g. "de Boer", "van de Putte", "von und zu Orlow". Multiple family names, such as are commonly found in Hispanic countries, are recorded in the single family name field so that, for example, Miguel de Cervantes Saavedra's Family Name would be recorded as "de Cervantes Saavedra".||Shah|1|Apellido|||1|Priimek|\Družinsko ime običajno delijo člani družine. Ta atribut nosi tudi predpone ali pripone ki so del družinskega imena npr. 'de Boer' 'van de Putte' 'von und zu orlow'. Več družinskih imen na primer običajno najdemo v hispanskih državah se evidentirajo v polju posameznega zasebnega imena tako da bi se na primer Miguel de Cervantes Saavedra imeno ime zabeležila kot \\de Cervantes Saavedra\\.\||1|Apelido|||1|Nom de famille|||0
Person/PersonName/GivenName|cvb:GivenNameType|UDT/Text|01|Given name|A given name, or multiple given names, are the denominator(s) that identify an individual within a family. These are given to a Person by his or her parents at birth or may be legally recognised as 'given names' through a formal process. All given names are ordered in one field so that, for example, the given name for Johann Sebastian Bach is 'Johann Sebastian'.||Iftikhar|1|Nombre de pila|||1|Ime|\Ime ali več imenih imen so imenovalci ki identificirajo posameznika znotraj družine. Ti so dana osebam njegovim staršem ob rojstvu ali pa je lahko zakonito priznan kot \\dana imena\\ s formalnim postopkom. Vsa določena imena so naročena na enem polju tako da je na primer dano ime za Johann Sebastian Bacha \\Johann Sebastian\\.\||1|Nome próprio|||1|Prénom|||0
Person/Identifier||Identifier|01|Identifier|The identifier relation is used to link a Person to any formally issued Identifier for that Person.|||1|Identificador|||1|Identifikator|Oporednotenje identifikatorja se uporablja za povezovanje osebe na kateri koli formalno izdani identifikator za to osebo.||1|Identificador|||1|Identifiant|||0
Person/Citizenship||Jurisdiction|01|Citizenship|The citizenship relationship links a Person to a Jurisdiction that has conferred citizenship rights on the individual such as the right to vote, to receive certain protection from the community or the issuance of a passport.|||1|Ciudadanía|||1|Državljanstvo|Odnos državljanstva povezuje osebo v pristojnost ki je podelila pravice državljanstva na posameznika kot je pravica do glasovanja da bi prejela določeno zaščito pred Skupnostjo ali izdajo potnega lista.||1|Cidadania|||1|Citoyenneté|||0
